region,distrito,comuna
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,MACHALI
METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
DE LOS RIOS,DISTRITO 24,MAFIL
METROPOLITANA DE SANTIAGO,DISTRITO 8,MAIPU
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,MALLOA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,MARCHIGUE
DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
METROPOLITANA DE SANTIAGO,DISTRITO 14,MARIA PINTO
DE LOS RIOS,DISTRITO 24,MARIQUINA
DEL MAULE,DISTRITO 17,MAULE
DE LOS LAGOS,DISTRITO 26,MAULLIN
DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
DE LA ARAUCANIA,DISTRITO 22,MELIPEUCO
METROPOLITANA DE SANTIAGO,DISTRITO 14,MELIPILLA
DEL MAULE,DISTRITO 17,MOLINA
DE COQUIMBO,DISTRITO 5,MONTE PATRIA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,MOSTAZAL
DEL BIOBIO,DISTRITO 21,MULCHEN
DEL BIOBIO,DISTRITO 21,NACIMIENTO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,NANCAGUA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,NAVIDAD
DEL BIOBIO,DISTRITO 21,NEGRETE
DE ÑUBLE,DISTRITO 19,NINHUE
DE ÑUBLE,DISTRITO 19,ÑIQUEN
DE VALPARAISO,DISTRITO 6,NOGALES
DE LA ARAUCANIA,DISTRITO 23,NUEVA IMPERIAL
METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,OLIVAR
DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
DE VALPARAISO,DISTRITO 6,OLMUE
DE LOS LAGOS,DISTRITO 25,OSORNO
DE COQUIMBO,DISTRITO 5,OVALLE
METROPOLITANA DE SANTIAGO,DISTRITO 14,PADRE HURTADO
DE LA ARAUCANIA,DISTRITO 23,PADRE LAS CASAS
DE COQUIMBO,DISTRITO 5,PAIHUANO
DE LOS RIOS,DISTRITO 24,PAILLACO
METROPOLITANA DE SANTIAGO,DISTRITO 14,PAINE
DE LOS LAGOS,DISTRITO 26,PALENA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PALMILLA
DE LOS RIOS,DISTRITO 24,PANGUIPULLI
DE VALPARAISO,DISTRITO 6,PANQUEHUE
DE VALPARAISO,DISTRITO 6,PAPUDO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,PAREDONES
DEL MAULE,DISTRITO 18,PARRAL
METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
DEL MAULE,DISTRITO 17,PELARCO
DEL MAULE,DISTRITO 18,PELLUHUE
DE ÑUBLE,DISTRITO 19,PEMUCO
METROPOLITANA DE SANTIAGO,DISTRITO 14,PEÑAFLOR
METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
