region,orden_reg,distrito,com_nom,cod_servel,cod_casen,padron,vot_boric,vot_kast,vot_nulo,vot_blanco,vot_validos,vot_tot,participacion,per_pob2020
DE LA ARAUCANIA,12,DISTRITO 22,LOS SAUCES,2701,9206,7464,1156,2851,19,11,4007,4037,0.5408628081457664,0.1548463002092554
DE COQUIMBO,5,DISTRITO 5,LOS VILOS,2534,4203,18641,6614,3067,67,22,9681,9770,0.5241135132235395,0.1489742536945103
DEL BIOBIO,11,DISTRITO 21,LOTA,2647,8106,47446,13409,11045,266,89,24454,24809,0.5228891792774945,0.1445132431500428
DE LA ARAUCANIA,12,DISTRITO 22,LUMACO,2702,9207,9187,1542,3585,22,9,5127,5158,0.5614455208446718,0.2172497415837648
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,MACHALI,2586,6108,38282,13176,10630,227,62,23806,24095,0.6294080769029832,0.0697877906909054
METROPOLITANA DE SANTIAGO,7,DISTRITO 10,MACUL,2775,13118,100045,40364,22973,475,202,63337,64014,0.6398520665700435,0.06956603505032818
DE LOS RIOS,13,DISTRITO 24,MAFIL,2814,14105,7191,1527,2271,31,10,3798,3839,0.5338617716590183,0.155047140708244
METROPOLITANA DE SANTIAGO,7,DISTRITO 8,MAIPU,2776,13119,392526,167374,83812,1670,442,251186,253298,0.6453024767786083,0.07042386935675589
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,MALLOA,2587,6109,12391,3443,3370,48,22,6813,6883,0.5554838189008151,0.1187462830175634
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,MARCHIGUE,2599,6204,7159,2209,1831,28,7,4040,4075,0.5692135773152674,0.1088746204380961
DE ANTOFAGASTA,3,DISTRITO 3,MARIA ELENA,2516,2302,6173,1350,476,24,5,1826,1855,0.30050218694313946,0.17549807812142
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,MARIA PINTO,2803,13504,11862,3959,2908,41,14,6867,6922,0.5835440903726185,0.1029077073562951
DE LOS RIOS,13,DISTRITO 24,MARIQUINA,2815,14106,19123,4854,4505,47,29,9359,9435,0.49338492914291693,0.1480985151512377
DEL MAULE,9,DISTRITO 17,MAULE,2616,7105,25279,6959,7158,109,43,14117,14269,0.5644606194865304,0.1265551506495703
DE LOS LAGOS,14,DISTRITO 26,MAULLIN,2714,10108,15329,2791,4086,51,29,6877,6957,0.45384565203209604,0.1313287045806746
DE ANTOFAGASTA,3,DISTRITO 3,MEJILLONES,2509,2102,10072,3050,1398,54,13,4448,4515,0.4482724384432089,0.12915202564679
DE LA ARAUCANIA,12,DISTRITO 22,MELIPEUCO,2684,9110,7723,1122,2049,19,10,3171,3200,0.41434675644179725,0.1833443838259574
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,MELIPILLA,2800,13501,98064,28453,23555,305,94,52008,52407,0.5344162995594713,0.09116700637647504
DEL MAULE,9,DISTRITO 17,MOLINA,2628,7304,39735,13143,9569,164,60,22712,22936,0.5772241097269409,0.1301935928260086
DE COQUIMBO,5,DISTRITO 5,MONTE PATRIA,2538,4303,28145,7966,3924,109,55,11890,12054,0.42828211049920056,0.1605097604650675
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,MOSTAZAL,2588,6110,21204,7721,4469,97,34,12190,12321,0.5810696095076401,0.1272768475269365
DEL BIOBIO,11,DISTRITO 21,MULCHEN,2665,8305,26746,5384,7117,125,56,12501,12682,0.4741643610259478,0.1648331606416179
DEL BIOBIO,11,DISTRITO 21,NACIMIENTO,2666,8306,24563,4693,7253,101,51,11946,12098,0.4925294141595082,0.1457799117960693
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,NANCAGUA,2606,6305,15306,4839,3629,45,20,8468,8533,0.5574937932836797,0.1274791937100643
